,Cases,Deaths,Recov,Arrival,Continent Diff,Originated,Arrival – china's 1st Case,First Death,First death – First arrival
Cambodia,53,0,2,01/27/20,1,Wuhan,27,,
Ukraine,47,3,8,03/03/20,2,Italy,63,03/13/20,10
Liechtenstein,44,0,0,03/03/20,2,Switzerland,63,,
Uzbekistan,42,0,0,03/15/20,1,France,75,,
Cameroon,40,0,2,03/06/20,4,France,66,,
Northern Cyprus,35,0,3,03/10/20,2,Germany,70,,
Afghanistan,34,0,1,02/24/20,1,Iran,55,,
Kosovo,31,0,0,03/13/20,2,Italy,73,03/22/20,9
Bangladesh,27,2,3,03/07/20,1,Wuhan,67,03/18/20,11
Nigeria,27,0,2,02/27/20,4,Italy,58,,
Honduras,26,0,0,03/10/20,5,Spain,70,,
DR Congo,23,1,0,03/10/20,4,Wuhan,70,03/22/20,12
Paraguay,22,1,0,03/07/20,5,,67,03/20/20,13
Cuba,21,1,0,02/24/20,5,Italy,55,03/18/20,23
Ghana,21,1,0,03/12/20,4,Norway,72,03/21/20,9
Bolivia,20,0,0,03/10/20,5,Spain,70,,
Jamaica,19,1,2,03/10/20,5,China,70,03/18/20,8
Macau,19,0,10,01/22/20,1,Wuhan,22,,
Mauritius,18,1,0,03/07/20,4,UK,67,03/21/20,14
Maldives,13,0,2,03/07/20,1,Wuhan,67,,
Mongolia,10,0,0,03/10/20,1,Wuhan,70,,
Bhutan,2,0,0,03/06/20,1,,66,,
Nepal,1,0,1,01/05/20,1,Wuhan,5,,
US States,,,,,,,,,
New York,,,,,,,,,
Washington,2580,132,,01/21/20,,Wuhan,,02/19/20,
