Date,Time,Latitude,Longitude,Magnitude,Epicenter,
2015-11-25,18:57,27.87,85.77,4.1,Sindhupalchowk,
2015-11-24,12:24,28.15,84.81,4.4,Gorkha,
2015-11-24,11:15,27.87,85.29,4,Nuwakot,
2015-11-22,01:26,28.43,83.3,4.1,Myagdi,
2015-11-20,08:00,28.35,83.36,4,Baglung,
2015-11-19,11:59,27.77,85.88,4,Sindhupalchok,
2015-11-19,04:15,27.89,85.75,5.3,Sindupalchok,
2015-11-17,13:10,28.02,85.28,4.3,Rasuwa,
2015-11-12,10:00,27.99,85.65,4.2,Sindupalchok,
2015-10-31,03:43,28.03,85.23,4.3,Rasuwa,
2015-10-17,18:01,27.8,86.3,4.2,Dolakha,
2015-10-16,08:43,27.71,86.16,4.2,Dolakha,
2015-10-08,16:13,27.96,85.54,4.1,Sindupalchowk,
2015-10-08,07:15,27.57,85.31,4,Lalitpur,
2015-10-07,23:30,27.68,86.08,4.2,Dolakha,
2015-10-06,12:02,27.69,86.09,4.2,Dolakha,
2015-10-05,07:36,27.71,86.1,4.2,Dolakha,
2015-10-05,07:33,27.71,86.15,4.8,Dolakha,
2015-09-29,10:54,27.77,85.87,4.6,Sindhupalchowk,
2015-09-29,09:27,29.83,80.6,4.6,Darchula,
2015-09-22,06:32,27.74,85.07,4.5,Dhading,
2015-09-20,22:20,27.76,86.37,4,Dolakha,
2015-09-16,14:52,27.6,86.19,4.2,Dolakha,
2015-09-09,12:38,27.82,86.24,4,Dolakha,
2015-09-03,23:25,27.75,86.01,4.3,Sindhupalchowk,
2015-09-02,23:06,27.64,86.19,4.4,Dolakha,
2015-08-31,17:48,27.92,85.69,4.2,Sindhupalchowk,
2015-08-30,21:24,27.92,84.94,4.3,Dhading,
2015-08-30,13:17,27.72,85.75,5,Sindhupalchowk,
2015-08-30,02:41,27.66,86.23,4.1,Dolakha,
2015-08-27,19:06,27.85,85.74,4.2,Sindhupalchowk,
2015-08-27,00:22,28.12,84.89,4.1,Gorkha,
2015-08-26,07:46,30.11,81.53,4.1,Humla,
2015-08-25,09:23,27.68,86.22,4,Dolakha,
2015-08-23,09:02,27.87,86.17,5.1,Dolakha,
2015-08-21,06:36,27.96,85.48,4,Nuwakot,
2015-08-20,06:02,28,85.29,4.6,Rasuwa,
2015-08-18,22:23,27.93,86.14,4.8,Dolakha,
2015-08-15,18:11,27.71,86.05,4.8,Dolakha,
2015-08-15,04:25,27.87,86.08,4.1,Dolakha,
2015-08-14,13:02,27.59,85.97,4.3,Dolakha,
2015-08-13,20:04,27.72,85.2,4,Kathmandu,
2015-08-11,04:57,27.7,85.29,4.3,Kathmandu,
2015-08-10,22:30,28.14,84.72,4.9,Gorkha,
2015-08-09,06:36,30.1,81.85,4,Humla,
2015-08-09,02:10,27.94,85.52,4.1,Sindupalchok,
2015-08-08,15:40,27.69,86.26,4.1,Dolakha,
2015-08-08,00:39,27.77,85.7,4,Sindupalchok,
2015-08-07,06:12,27.5,85.5,4.4,Kavre,
2015-08-06,14:51,27.86,85.76,4.1,Sindupalchok,
2015-08-05,11:53,27.63,86.07,4.1,Dolakha,
2015-08-05,08:14,27.64,86.07,4.3,Dolakha,
2015-08-01,01:37,27.81,85.71,4.2,Sindupalchok,
2015-07-30,14:33,27.66,86.09,4.5,Dolakha,
2015-07-28,15:38,27.59,86.17,4.1,Dolakha,
2015-07-28,12:53,27.68,86.04,4,Dolakha,
2015-07-28,03:36,27.8,85.75,4.1,Sindupalchok,
2015-07-27,12:38,27.94,85.48,4.2,Nuwakot,
2015-07-26,04:18,27.85,85.75,4,Sindupalchok,
2015-07-26,03:45,27.68,86.22,4.1,Dolakha,
2015-07-25,18:20,27.61,86.28,4.3,Dolakha,
2015-07-25,14:19,27.66,86,4.5,Dolakha,
2015-07-22,16:29,27.7,85.32,4.6,Kathmandu,
2015-07-21,02:24,27.86,86.39,4.3,Dolakha,
2015-07-17,23:24,28.18,84.74,4,Gorkha,
2015-07-15,02:29,29.8,80.73,4.1,Darchula,
2015-07-13,11:54,27.63,86.09,4.2,Dolakha,
2015-07-13,10:16,28.06,85.34,4,Rasuwa,
2015-07-11,20:43,27.8,86.23,4.4,Dolakha,
2015-07-09,12:14,27.89,85.73,4.4,Sindupalchok,
2015-07-08,04:34,27.6,86.23,4.1,Dolakha,
2015-07-08,04:10,27.92,85.68,4.2,Sindhupalchok,
2015-07-07,09:31,29.69,81.74,4.6,Bajura,
2015-07-07,03:21,28.48,83.13,4.2,Baglung,
2015-07-06,15:29,27.96,85.75,4.4,Sindhupalchok,
2015-07-06,05:03,27.69,86.2,4.3,Dolakha,
2015-07-05,19:42,27.86,85.87,4.4,Sindupalchok,
2015-07-05,04:22,27.67,86.2,4.2,Dolakha,
2015-07-04,20:04,27.73,85,4.6,Dhading,
2015-07-02,23:41,27.67,85.54,4.1,Kavre,
2015-07-02,01:56,27.97,85.62,5,Sindhupalchowk,
2015-07-01,21:48,27.8,85.74,4,Sindhupalchowk,
2015-07-01,09:39,28.06,85.14,4,Nuwakot,
2015-07-01,03:27,27.71,86.12,4,Dolakha,
2015-06-30,21:46,27.55,85.79,4.4,Kavre,
2015-06-29,23:57,27.35,86.2,5,Ramechhap,
2015-06-29,17:49,27.93,85.64,4,Sindhupalchowk,
2015-06-29,17:42,27.92,85.68,4.1,Sindhupalchowk,
2015-06-28,16:16,27.92,85.66,4.3,Sindhupalchok,
2015-06-26,12:17,27.74,86.28,4.2,Dolakha,
2015-06-26,09:00,27.58,85.39,4.1,Lalitpur,
2015-06-25,18:06,27.94,85.49,4.2,Sindhupalchok,
2015-06-25,18:04,27.66,86.21,4.1,Dolakha,
2015-06-25,15:22,27.78,85.17,4.3,Nuwakot,
2015-06-24,09:14,27.85,85.75,4,Sindhupalchowk,
2015-06-22,07:34,27.67,86.17,4,Dolakha,
2015-06-21,13:41,27.8,86,4.3,Sindupalchok,
2015-06-20,20:55,28.17,84.94,4.2,Gorkha,
2015-06-20,12:23,28.65,82.76,5.4,Rukum,
2015-06-19,20:05,28.26,84.92,4,Gorkha,
